user_id,user_link,user_name,user_nationality,level_tag,user_level,badge_tag,user_badge,game_tag,user_games,Cluster
76561199043183592,https://steamcommunity.com/profiles/76561199043183592/,uvi,,20-50,20,0-20,12,20-50,39,2
76561198813080178,https://steamcommunity.com/profiles/76561198813080178/,鬼使神差,"Meizhou, Guangdong, China",0-20,16,0-20,16,50-100,58,0
AlanTang420,https://steamcommunity.com/id/AlanTang420/,六小龄童,Hong Kong,20-50,35,50-100,61,100-500,267,0
76561198889908903,https://steamcommunity.com/profiles/76561198889908903/,zisnyove,"Digby, Nova Scotia, Canada",20-50,25,20-50,20,100-500,168,0
76561198285120802,https://steamcommunity.com/profiles/76561198285120802/,Only RD,,,-1,None,-1,None,-1,2
hakusans,https://steamcommunity.com/id/hakusans/,SA Monkey Manager,,0-20,18,0-20,14,50-100,82,0
76561199135521187,https://steamcommunity.com/profiles/76561199135521187/,FieldRi4ky,,,-1,None,-1,None,-1,0
1892748249,https://steamcommunity.com/id/1892748249/,基岩小橙,China,0-20,14,None,-1,None,-1,0
76561198328274928,https://steamcommunity.com/profiles/76561198328274928/,K9999,,0-20,9,0-20,9,20-50,32,0
76561198993997635,https://steamcommunity.com/profiles/76561198993997635/,1728469432,,0-20,4,0-20,2,20-50,28,0
captainbeifong,https://steamcommunity.com/id/captainbeifong/,Beif♡ng77,"Korea, Democratic People's Republic of",50-100,50,50-100,57,100-500,292,0
815792301,https://steamcommunity.com/id/815792301/,⚡𝙉𝙚𝙣⚡,"Shanghai, Shanghai, China",50-100,62,20-50,44,100-500,199,0
76561199617385709,https://steamcommunity.com/profiles/76561199617385709/,jay,,0-20,1,0-20,1,0-20,4,0
76561199199744996,https://steamcommunity.com/profiles/76561199199744996/,香草笑南梁,,20-50,26,0-20,19,100-500,151,0
76561198392267543,https://steamcommunity.com/profiles/76561198392267543/,Lazy,"Zunyi, Guizhou, China",0-20,10,0-20,5,20-50,33,0
76561198799369392,https://steamcommunity.com/profiles/76561198799369392/,辣椒酱与草莓酒,,,-1,None,-1,None,-1,0
76561198191275883,https://steamcommunity.com/profiles/76561198191275883/,彭于晏的妹妹,,20-50,26,0-20,5,50-100,73,0
76561199216320442,https://steamcommunity.com/profiles/76561199216320442/,一枚瓜瓜网绿,China,0-20,10,0-20,7,0-20,10,0
76561199441404075,https://steamcommunity.com/profiles/76561199441404075/,星恒泽宇eric,"Guiyang, Guizhou, China",0-20,3,None,-1,None,-1,0
76561198263986489,https://steamcommunity.com/profiles/76561198263986489/,ALEXalexAlEx,"Shanghai, Shanghai, China",0-20,9,None,-1,None,-1,0
76561198435622916,https://steamcommunity.com/profiles/76561198435622916/,太阳能手电筒,,0-20,6,0-20,5,0-20,8,0
76561198976571620,https://steamcommunity.com/profiles/76561198976571620/,骰娘你不要过来哇啊,,,-1,None,-1,None,-1,0
