用户链接,用户名,用户游戏国籍,用户等级,用户持有徽章数,用户持有游戏数,用户持有成就数
https://steamcommunity.com/profiles/76561199541252897/,离我远点我有病啊,,6,6,32,
https://steamcommunity.com/profiles/76561198418502499/,无限,,,,,
https://steamcommunity.com/profiles/76561199517287730/,779929095,,3,3,24,
https://steamcommunity.com/profiles/76561198163993934/,更深的蓝,China,11,,,
https://steamcommunity.com/profiles/76561199124734064/,CanCanNeedNewNew,,,,,
https://steamcommunity.com/profiles/76561199420733603/,Zorion,,36,34,427,
https://steamcommunity.com/profiles/76561198394995918/,liangliangliangliang,"Fushun, Liaoning, China",6,,,
https://steamcommunity.com/profiles/76561198378513952/,Sake drunkenness,"Shaoguan, Guangdong, China",10,7,102,
https://steamcommunity.com/profiles/76561199002185327/,yuxiao,"Hangzhou, Zhejiang, China",6,4,64,
https://steamcommunity.com/profiles/76561199014723651/,Timmy,,12,,,
https://steamcommunity.com/profiles/76561198371845704/,丁菊长,,10,5,105,
https://steamcommunity.com/id/133152101/,𝓢𝓾𝔃𝓾𝔂𝓪,"Wuhan, Hubei, China",86,172,794,
https://steamcommunity.com/profiles/76561199157369937/,806149742,,4,4,22,
https://steamcommunity.com/profiles/76561198894525245/,𝕲𝖀𝕬𝕹-𝕸𝕴𝕹㋡,,,,,
https://steamcommunity.com/id/xdcf2010/,Fardream,"Chengdu, Sichuan, China",11,7,134,
https://steamcommunity.com/profiles/76561198410847882/,516748919,,5,,,
https://steamcommunity.com/profiles/76561199055118258/,尤利乌斯丶西瓜,,4,,,
https://steamcommunity.com/profiles/76561199312989402/,题序等你回,"Shandong, China",4,5,15,
https://steamcommunity.com/profiles/76561198354307291/,Nothiry,"Yangzhou, Jiangsu, China",7,5,39,
https://steamcommunity.com/id/Nameless_1018/,罗贯中,,,,,
https://steamcommunity.com/profiles/76561199484103891/,stnk,,,,,
https://steamcommunity.com/profiles/76561198098536472/,衬衫的价格是九磅十五便士,,15,12,142,
https://steamcommunity.com/profiles/76561198131973218/,越后之龙,China,25,24,237,4
https://steamcommunity.com/profiles/76561198248321724/,Intro,,9,5,55,
https://steamcommunity.com/profiles/76561198090801494/,jingpenguin,,16,8,503,3
https://steamcommunity.com/profiles/76561198370820315/,𝓘𝓻𝓮𝓷𝓮,"Shenzhen, Guangdong, China",82,,,18
https://steamcommunity.com/profiles/76561198858983011/,白龙,,7,,,
https://steamcommunity.com/profiles/76561198386184439/,Giotto,"Shenzhen, Guangdong, China",9,7,99,
https://steamcommunity.com/id/MNKRay/,MNKRay,China,13,13,182,
https://steamcommunity.com/profiles/76561199298483594/,无怒超人,,6,8,41,
https://steamcommunity.com/profiles/76561199196988300/,2898816235,,6,5,101,
https://steamcommunity.com/profiles/76561198400071688/,bgone,,84,74,"1,344",
https://steamcommunity.com/profiles/76561198316417942/,木月,,10,7,24,
https://steamcommunity.com/profiles/76561198225436352/,巴黎瑰儿卡斯兰,,8,5,20,
https://steamcommunity.com/profiles/76561198088479081/,道之心猿须悟空,"Shanghai, Shanghai, China",12,6,172,
https://steamcommunity.com/profiles/76561198077752412/,光滑的蓝胖子,China,39,23,"2,589",
https://steamcommunity.com/id/2782093688/,别搞我,,2,2,12,
https://steamcommunity.com/profiles/76561199350968356/,托马斯回旋爆炸马桶,"Pingdingshan, Henan, China",11,9,93,
https://steamcommunity.com/id/Novaloasuka/,电台司令,"Xiamen, Fujian, China",104,107,395,50
https://steamcommunity.com/profiles/76561198818403038/,Laurence,,29,27,126,27
https://steamcommunity.com/profiles/76561199050171371/,宣尺,,11,7,78,
https://steamcommunity.com/profiles/76561199388657070/,青青草原沸羊羊,,4,4,18,
https://steamcommunity.com/profiles/76561198401812604/,vv,,26,13,235,
https://steamcommunity.com/profiles/76561199345317308/,3209084193,,3,,,
https://steamcommunity.com/id/SuenGallen/,童,China,333,"1,037",521,
https://steamcommunity.com/profiles/76561199130270953/,3zc,,41,62,137,22
https://steamcommunity.com/id/545115212/,Asuka,"Hangzhou, Zhejiang, China",41,34,29,
